"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2025,"Bellarmine",58.0459770114943,364,15.3712057107592,300,30.1552106430155,207,34.8457350272232,228
2025,"Belmont",53.7448347107438,309,17.6219255717164,145,29.3855743544078,161,27.0144628099174,40
2025,"Bethune Cookman",48.755081300813,82,16.7090920958162,201,30.0332778702163,198,32.3678861788618,163
2025,"Binghamton",49.739281575898,121,12.7642396242495,358,26.9267364414843,50,31.9235225955968,151
2025,"Boise St.",49.584947426674,116,16.0491130450778,258,22.6310947562098,3,31.1566131710017,130
2025,"Boston College",51.8867924528302,238,15.4874135432738,293,29.9906279287723,196,37.0699223085461,285
2025,"Boston University",52.3390036452005,254,16.6047520506619,215,23.3539094650206,4,32.0170109356015,154
2025,"Bowling Green",52.5582717453098,266,17.3579237252775,167,27.4606299212598,67,29.8465036952814,95
2025,"Bradley",47.9365079365079,52,15.6587564375201,283,28.0569514237856,89,35.5026455026455,249
2025,"Brown",49.2689129052765,101,15.7082433088654,280,30.6962025316456,227,29.0527654164018,79
2025,"Bryant",47.6949485041687,44,16.3814974177867,234,28.8244766505636,129,29.9656694458068,102
2025,"Bucknell",50.2843846949328,147,16.9767429366542,186,27.9931093884582,85,35.3671147880041,241
2025,"Buffalo",54.2382271468144,323,16.2423938422219,245,31.3102119460501,260,31.191135734072,131
2025,"Butler",49.4600938967136,109,11.484584412817,362,29.2781832927818,157,20.4225352112676,3
2025,"CSUN",49.9090357792602,130,20.4815910866305,36,24.1020793950851,6,45.0576106731352,357
2025,"Cal Baptist",50.1373626373626,141,18.0857700474465,115,29.6058661778185,171,33.4065934065934,194
2025,"Cal Poly",53.2362459546926,292,19.1037141805359,70,33.1715210355987,322,32.3624595469256,162
2025,"Cal St. Bakersfield",54.2540073982737,324,18.9162467688716,76,29.740932642487,180,46.9173859432799,360
2025,"Cal St. Fullerton",54.2637862421831,325,16.1068956135312,251,29.8418972332016,184,34.1102899374645,212
2025,"California",53.0077120822622,279,16.2614846735507,244,28.8272157564906,130,32.7506426735219,169
2025,"Campbell",52.4198427102238,258,18.8151474480388,82,27.7196652719665,75,29.8850574712644,98
2025,"Canisius",56.8926553672316,360,16.4216014716094,230,34.3189017951426,346,31.4124293785311,138
2025,"Central Arkansas",56.8181818181818,359,16.6800021025213,205,30.0189393939394,197,22.6215644820296,9
2025,"Central Connecticut",47.6830663615561,42,18.1236272356448,113,25.3481894150418,17,18.9359267734554,2
2025,"Central Michigan",53.0970625798212,283,18.1804774386442,107,29.0533188248096,142,31.2899106002554,134
2025,"Charleston",50.1258811681772,140,16.4092664092664,231,28.2571912013536,97,26.5357502517623,32
2025,"Charleston Southern",53.3809785596482,297,13.5176284443383,350,28.1976744186047,94,33.2600329851567,189
2025,"Charlotte",54.215522054718,322,14.6296003235392,329,29.2368681863231,156,36.962590731435,283
2025,"Chattanooga",51.2215435868962,201,16.2712185085111,243,29.9813780260708,194,33.8145474736258,205
2025,"Chicago St.",54.875406283857,342,18.1634258738901,109,33.6457357075914,333,36.9447453954496,282
2025,"Cincinnati",48.614810868407,77,19.7066911090742,55,30.0820419325433,204,24.2940863079382,13
2025,"Clemson",48.8936859147329,89,20.0982123528809,42,29.9295774647887,191,27.5769023205613,46
2025,"Cleveland St.",50.6317119393557,168,22.2585102374074,8,34.0909090909091,342,38.0922299431459,300
2025,"Coastal Carolina",48.6222732491389,78,10.4989591549114,364,28.739800543971,125,36.9115958668197,281
2025,"Colgate",53.2922912205567,295,16.28380343123,242,26.8978444236176,48,25.5353319057816,24
2025,"Colorado",49.5422177009156,114,16.3593927324897,238,28.2537067545305,96,34.7914547304171,227
2025,"Colorado St.",48.4506302521008,68,16.7064962399421,202,25.3289473684211,16,33.6134453781513,200
2025,"Columbia",56.3559322033898,356,16.3628976898614,236,26.7303102625298,44,25.4237288135593,23
2025,"Connecticut",48.2642777155655,59,15.5031584793021,291,27.4193548387097,64,39.9776035834266,333
2025,"Coppin St.",55.5624227441286,349,20.5353137616508,33,33.8833883388339,338,37.1446229913473,288
2025,"Cornell",52.1687462863933,246,15.3164150337295,303,28.8775510204082,133,31.3131313131313,135
2025,"Creighton",46.9730941704036,25,11.7486353549697,361,27.2259013980868,57,16.9058295964126,1
2025,"Dartmouth",49.1312162971839,95,13.7895095504379,345,24.8736097067745,10,23.1875374475734,10
2025,"Davidson",52.3667029379761,255,15.4034575345047,299,26.8629254829807,46,28.1284004352557,57
2025,"Dayton",50.4244482173175,154,17.7235557583544,134,28.8135593220339,128,30.6734578381437,121
2025,"DePaul",51.4077425842132,212,15.5265711607099,289,28.6569717707442,117,28.9089994972348,75
2025,"Delaware",52.2366522366522,248,15.5290908137034,288,32.5331125827815,311,32.8523328523329,175
2025,"Delaware St.",53.7970430107527,313,20.036734012356,43,32.1345707656613,296,40.3225806451613,335
2025,"Denver",54.3142305215712,328,17.5812135021727,149,29.0889132821076,146,49.8390212491951,363
2025,"Detroit Mercy",51.2134583563155,200,15.4505429997065,296,30.4845814977974,220,39.7683397683398,328
2025,"Drake",51.7096999302163,229,22.0592143730399,10,25.7988165680473,24,35.7990230286113,254
2025,"Drexel",47.8445981905269,49,14.4323841603385,333,30.0777873811582,203,28.1532730175625,58
2025,"Duke",44.5010183299389,3,17.7143614436542,136,26.4984227129338,39,25.4073319755601,22
2025,"Duquesne",50.1526251526252,142,19.9975553110867,45,30.6306306306306,224,39.4993894993895,322
2025,"East Carolina",51.7136539524599,231,17.3945747731653,164,31.1848341232227,252,31.6196793808734,143
2025,"East Tennessee St.",50.3980404164115,152,18.8759643086551,79,29.6844181459566,176,34.3539497856705,217
2025,"East Texas A&M",53.8373424971363,314,19.9025014364157,49,35.9203980099502,359,36.4833906071019,274
